Room,Connected_Room,Probability
1,2,0.2
1,5,0.2
1,7,0.2
1,9,0.2
1,1,0.2
2,1,0.25
2,3,0.25
2,4,0.25
2,2,0.25
3,2,0.5
3,3,0.5
4,2,0.5
4,4,0.5
5,1,0.5
5,5,0.5
6,7,0.5
6,6,0.5
7,1,0.25
7,6,0.25
7,8,0.25
7,7,0.25
8,7,0.5
8,8,0.5
9,1,0.3333333333333333
9,10,0.3333333333333333
9,9,0.3333333333333333
10,9,0.1111111111111111
10,11,0.1111111111111111
10,12,0.1111111111111111
10,13,0.1111111111111111
10,18,0.1111111111111111
10,19,0.1111111111111111
10,20,0.1111111111111111
10,27,0.1111111111111111
10,10,0.1111111111111111
11,10,0.25
11,14,0.25
11,28,0.25
11,11,0.25
12,10,0.25
12,15,0.25
12,16,0.25
12,12,0.25
13,10,0.3333333333333333
13,17,0.3333333333333333
13,13,0.3333333333333333
14,11,0.3333333333333333
14,15,0.3333333333333333
14,14,0.3333333333333333
15,12,0.3333333333333333
15,14,0.3333333333333333
15,15,0.3333333333333333
16,12,0.3333333333333333
16,17,0.3333333333333333
16,16,0.3333333333333333
17,13,0.3333333333333333
17,16,0.3333333333333333
17,17,0.3333333333333333
18,10,0.2
18,19,0.2
18,26,0.2
18,70,0.2
18,18,0.2
19,10,0.16666666666666666
19,18,0.16666666666666666
19,20,0.16666666666666666
19,25,0.16666666666666666
19,26,0.16666666666666666
19,19,0.16666666666666666
20,10,0.2
20,19,0.2
20,21,0.2
20,24,0.2
20,20,0.2
21,20,0.3333333333333333
21,22,0.3333333333333333
21,21,0.3333333333333333
22,21,0.3333333333333333
22,23,0.3333333333333333
22,22,0.3333333333333333
23,22,0.3333333333333333
23,24,0.3333333333333333
23,23,0.3333333333333333
24,20,0.25
24,23,0.25
24,25,0.25
24,24,0.25
25,19,0.25
25,24,0.25
25,26,0.25
25,25,0.25
26,18,0.25
26,19,0.25
26,25,0.25
26,26,0.25
27,10,0.3333333333333333
27,49,0.3333333333333333
27,27,0.3333333333333333
28,11,0.3333333333333333
28,29,0.3333333333333333
28,28,0.3333333333333333
29,28,0.3333333333333333
29,34,0.3333333333333333
29,29,0.3333333333333333
30,31,0.3333333333333333
30,33,0.3333333333333333
30,30,0.3333333333333333
31,30,0.3333333333333333
31,32,0.3333333333333333
31,31,0.3333333333333333
32,31,0.25
32,33,0.25
32,37,0.25
32,32,0.25
33,30,0.25
33,32,0.25
33,36,0.25
33,33,0.25
34,29,0.3333333333333333
34,35,0.3333333333333333
34,34,0.3333333333333333
35,34,0.2
35,36,0.2
35,40,0.2
35,49,0.2
35,35,0.2
36,33,0.2
36,35,0.2
36,37,0.2
36,39,0.2
36,36,0.2
37,32,0.25
37,36,0.25
37,38,0.25
37,37,0.25
38,37,0.3333333333333333
38,42,0.3333333333333333
38,38,0.3333333333333333
39,36,0.25
39,40,0.25
39,41,0.25
39,39,0.25
40,35,0.25
40,39,0.25
40,43,0.25
40,40,0.25
41,39,0.3333333333333333
41,42,0.3333333333333333
41,41,0.3333333333333333
42,38,0.3333333333333333
42,41,0.3333333333333333
42,42,0.3333333333333333
43,40,0.25
43,44,0.25
43,47,0.25
43,43,0.25
44,43,0.3333333333333333
44,45,0.3333333333333333
44,44,0.3333333333333333
45,44,0.3333333333333333
45,46,0.3333333333333333
45,45,0.3333333333333333
46,45,0.3333333333333333
46,47,0.3333333333333333
46,46,0.3333333333333333
47,43,0.25
47,46,0.25
47,48,0.25
47,47,0.25
48,47,0.3333333333333333
48,50,0.3333333333333333
48,48,0.3333333333333333
49,27,0.2
49,35,0.2
49,50,0.2
49,58,0.2
49,49,0.2
50,48,0.2
50,49,0.2
50,51,0.2
50,52,0.2
50,50,0.2
51,50,0.5
51,51,0.5
52,50,0.25
52,53,0.25
52,56,0.25
52,52,0.25
53,52,0.2
53,54,0.2
53,55,0.2
53,56,0.2
53,53,0.2
54,53,0.3333333333333333
54,55,0.3333333333333333
54,54,0.3333333333333333
55,53,0.3333333333333333
55,54,0.3333333333333333
55,55,0.3333333333333333
56,52,0.25
56,53,0.25
56,64,0.25
56,56,0.25
57,58,0.3333333333333333
57,63,0.3333333333333333
57,57,0.3333333333333333
58,49,0.2
58,57,0.2
58,59,0.2
58,62,0.2
58,58,0.2
59,58,0.25
59,60,0.25
59,61,0.25
59,59,0.25
60,59,0.25
60,61,0.25
60,70,0.25
60,60,0.25
61,59,0.2
61,60,0.2
61,68,0.2
61,69,0.2
61,61,0.2
62,58,0.3333333333333333
62,67,0.3333333333333333
62,62,0.3333333333333333
63,57,0.25
63,64,0.25
63,66,0.25
63,63,0.25
64,56,0.25
64,63,0.25
64,65,0.25
64,64,0.25
65,64,0.3333333333333333
65,66,0.3333333333333333
65,65,0.3333333333333333
66,63,0.25
66,65,0.25
66,67,0.25
66,66,0.25
67,62,0.25
67,66,0.25
67,68,0.25
67,67,0.25
68,61,0.25
68,67,0.25
68,69,0.25
68,68,0.25
69,61,0.3333333333333333
69,68,0.3333333333333333
69,69,0.3333333333333333
70,18,0.3333333333333333
70,60,0.3333333333333333
70,70,0.3333333333333333
